fichier,duree
conf_fr-001.mp3,6.989115646258504
conf_fr-002.mp3,4.138662131519275
conf_fr-003.mp3,4.558253968253968
conf_fr-004.mp3,3.5264172335600907
conf_fr-005.mp3,5.113061224489796
conf_fr-006.mp3,3.3729024943310657
conf_fr-007.mp3,7.6427437641723355
conf_fr-008.mp3,4.5245804988662135
conf_fr-009.mp3,3.173469387755102
conf_fr-010.mp3,3.2520861678004533
conf_fr-011.mp3,5.184308390022676
conf_fr-012.mp3,4.356530612244898
conf_fr-013.mp3,3.0543083900226757
conf_fr-014.mp3,5.063174603174603
conf_fr-015.mp3,3.289614512471655
conf_fr-016.mp3,6.570385487528345
conf_fr-017.mp3,3.1530385487528343
conf_fr-018.mp3,4.921836734693877
conf_fr-019.mp3,3.7963945578231293
conf_fr-020.mp3,3.381950113378685
conf_fr-021.mp3,5.676507936507937
conf_fr-022.mp3,6.024081632653061
conf_fr-023.mp3,2.248299319727891
conf_fr-024.mp3,6.1433786848072565
conf_fr-025.mp3,4.054399092970521
conf_fr-026.mp3,6.1938775510204085
conf_fr-027.mp3,3.87140589569161
conf_fr-028.mp3,4.434421768707483
conf_fr-029.mp3,5.685510204081632
conf_fr-030.mp3,5.035986394557823
conf_fr-031.mp3,3.97
conf_fr-032.mp3,6.498707482993197
conf_fr-033.mp3,4.8848526077097505
conf_fr-034.mp3,5.099319727891157
conf_fr-035.mp3,3.5755102040816324
conf_fr-036.mp3,4.901700680272109
conf_fr-037.mp3,3.930702947845805
conf_fr-038.mp3,3.546485260770975
conf_fr-039.mp3,2.456462585034014
conf_fr-040.mp3,6.008027210884354
conf_fr-041.mp3,3.978253968253968
conf_fr-042.mp3,6.047460317460318
conf_fr-043.mp3,2.470793650793651
conf_fr-044.mp3,6.001972789115646
conf_fr-045.mp3,4.56
conf_fr-046.mp3,4.757437641723356
conf_fr-047.mp3,5.4419501133786845
conf_fr-048.mp3,3.740748299319728
conf_fr-049.mp3,4.41
conf_fr-050.mp3,2.743764172335601
conf_fr-051.mp3,5.076575963718821
conf_fr-052.mp3,4.586802721088436
conf_fr-053.mp3,3.2737868480725623
conf_fr-054.mp3,6.421315192743764
conf_fr-055.mp3,5.24140589569161
conf_fr-056.mp3,5.041065759637188
conf_fr-057.mp3,4.09795918367347
conf_fr-058.mp3,5.927278911564626
conf_fr-059.mp3,2.419092970521542
conf_fr-060.mp3,4.63172335600907
conf_fr-061.mp3,4.348231292517007
conf_fr-062.mp3,5.021859410430839
conf_fr-063.mp3,4.468367346938775
