subject_id,0,part,1,correct,2,timeout_var,3,rt,4,time_elapsed,5
1,1,training-sentence,training-sentence,0,0,,,163.14499999862,163.14499999862,62144,62144
1,1,training-sentence,training-sentence,1,1,,,638.25999999244,638.25999999244,62791,62791
1,1,training-sentence,training-sentence,0,0,,,156.76499999245,156.76499999245,62956,62956
1,1,training-sentence,training-sentence,0,0,,,154.07499999856,154.07499999856,63117,63117
1,1,training-sentence,training-sentence,1,1,,,273.97499998915,273.97499998915,63399,63399
1,1,training-sentence,training-sentence,0,0,,,811.1399999907,811.1399999907,64218,64218
1,1,training-sentence,training-sentence,0,0,,,162.58499999822,162.58499999822,64390,64390
1,1,feedback,feedback,,,4035.8583254921,4035.8583254921,,,67446,67446
1,1,instruction,instruction,,,,,24166.185000009,24166.185000009,91741,91741
1,1,training-both-sentence,training-both-sentence,0,0,,,,,95792,95792
1,1,training-both-letter,training-both-letter,,,,,,,96797,96797
1,1,training-both-sentence,training-both-sentence,0,0,,,1035.5600000039,1035.5600000039,98139,98139
1,1,training-both-letter,training-both-letter,,,,,,,99145,99145
1,1,training-both-recall,training-both-recall,0,0,,,1934.2199999955,1934.2199999955,101385,101385
1,1,training-both-sentence,training-both-sentence,1,1,,,1123.7849999889,1123.7849999889,102517,102517
1,1,training-both-letter,training-both-letter,,,,,,,103523,103523
1,1,training-both-sentence,training-both-sentence,1,1,,,901.42999999807,901.42999999807,104731,104731
1,1,training-both-letter,training-both-letter,,,,,,,105736,105736
1,1,training-both-recall,training-both-recall,1,1,,,4857.634999993,4857.634999993,110900,110900
1,1,training-both-sentence,training-both-sentence,0,0,,,,,114944,114944
1,1,training-both-letter,training-both-letter,,,,,,,115960,115960
1,1,training-both-sentence,training-both-sentence,1,1,,,775.17999999691,775.17999999691,117043,117043
1,1,training-both-letter,training-both-letter,,,,,,,118048,118048
1,1,training-both-recall,training-both-recall,1,1,,,3064.5949999889,3064.5949999889,121419,121419
1,1,fin,fin,,,,,2327.965000004,2327.965000004,123749,123749
1,1,,,,,,,,,124751,124751
1,1,,,,,,,,,2963,2963
1,1,instruction,instruction,,,,,569.82499999867,569.82499999867,3535,3535
1,1,instruction,instruction,,,,,344.14000000106,344.14000000106,3880,3880
1,1,pause,pause,,,,,,,4886,4886
1,1,training-letters,training-letters,,,,,,,5889,5889
1,1,training-letters,training-letters,,,,,,,7202,7202
1,1,training-letters,training-letters,,,,,,,8519,8519
1,1,training-recall,training-recall,0,0,,,3970.4999999958,3970.4999999958,12804,12804
1,1,feedback,feedback,,,,,,,14325,14325
1,1,pause,pause,,,,,,,15343,15343
1,1,training-letters,training-letters,,,,,,,16359,16359
1,1,training-letters,training-letters,,,,,,,17676,17676
1,1,training-letters,training-letters,,,,,,,18990,18990
1,1,training-letters,training-letters,,,,,,,20310,20310
1,1,training-recall,training-recall,0,0,,,1473.4400000016,1473.4400000016,22102,22102
1,1,feedback,feedback,,,,,,,23622,23622
1,1,pause,pause,,,,,,,24627,24627
1,1,training-letters,training-letters,,,,,,,25644,25644
1,1,training-letters,training-letters,,,,,,,26973,26973
1,1,training-letters,training-letters,,,,,,,28300,28300
1,1,training-letters,training-letters,,,,,,,29618,29618
1,1,training-letters,training-letters,,,,,,,30936,30936
1,1,training-recall,training-recall,0,0,,,1454.0949999937,1454.0949999937,32708,32708
1,1,feedback,feedback,,,,,,,34216,34216
1,1,instruction,instruction,,,,,3877.1049999923,3877.1049999923,38094,38094
1,1,pause,pause,,,,,,,39112,39112
1,1,training-sentence,training-sentence,0,0,,,6000,6000,59125,59125
1,1,training-sentence,training-sentence,1,1,,,10694.585000005,10694.585000005,69824,69824
1,1,training-sentence,training-sentence,1,1,,,305.48999999883,305.48999999883,70137,70137
1,1,training-sentence,training-sentence,0,0,,,187.98499999684,187.98499999684,70332,70332
1,1,training-sentence,training-sentence,1,1,,,207.13999999862,207.13999999862,70547,70547
1,1,training-sentence,training-sentence,1,1,,,206.3749999943,206.3749999943,70761,70761
1,1,training-sentence,training-sentence,1,1,,,200.98000000871,200.98000000871,70971,70971
1,1,training-sentence,training-sentence,0,0,,,190.98999998823,190.98999998823,71170,71170
1,1,training-sentence,training-sentence,0,0,,,183.82000000565,183.82000000565,71361,71361
1,1,training-sentence,training-sentence,0,0,,,185.58499999926,185.58499999926,71555,71555
1,1,training-sentence,training-sentence,1,1,,,177.159999992,177.159999992,71739,71739
1,1,training-sentence,training-sentence,1,1,,,185.57000000146,185.57000000146,71932,71932
1,1,training-sentence,training-sentence,0,0,,,169.8550000001,169.8550000001,72110,72110
1,1,training-sentence,training-sentence,0,0,,,177.24499999895,177.24499999895,72297,72297
1,1,training-sentence,training-sentence,0,0,,,168.13000000548,168.13000000548,72472,72472
1,1,feedback,feedback,,,8788.8832918034,8788.8832918034,,,75547,75547
1,1,instruction,instruction,,,,,1648.6049999949,1648.6049999949,77307,77307
1,1,training-both-sentence,training-both-sentence,0,0,,,,,86105,86105
1,1,training-both-letter,training-both-letter,,,,,,,87116,87116
1,1,training-both-sentence,training-both-sentence,0,0,,,,,96237,96237
1,1,training-both-letter,training-both-letter,,,,,,,97255,97255
1,1,training-both-recall,training-both-recall,0,0,,,4009.2399999994,4009.2399999994,101582,101582
1,1,training-both-sentence,training-both-sentence,0,0,,,3495.9300000046,3495.9300000046,105086,105086
1,1,training-both-letter,training-both-letter,,,,,,,106096,106096
1,1,training-both-sentence,training-both-sentence,1,1,,,643.04500000435,643.04500000435,107054,107054
1,1,training-both-letter,training-both-letter,,,,,,,108062,108062
1,1,training-both-recall,training-both-recall,1,1,,,5220.4750000092,5220.4750000092,113595,113595
1,1,training-both-sentence,training-both-sentence,1,1,,,2208.1999999937,2208.1999999937,115811,115811
1,1,training-both-letter,training-both-letter,,,,,,,116819,116819
1,1,training-both-sentence,training-both-sentence,0,0,,,1001.3949999993,1001.3949999993,118136,118136
1,1,training-both-letter,training-both-letter,,,,,,,119143,119143
1,1,training-both-recall,training-both-recall,1,1,,,5378.8549999881,5378.8549999881,124840,124840
1,1,feedback,feedback,,,,,66425.334999993,66425.334999993,191280,191280
1,1,,,,,,,,,192287,192287
